[2025-12-07 01:24:31,999: INFO: main: Logging is Implemented]
[2025-12-11 13:05:27,824: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-11 13:05:27,840: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-11 13:05:27,841: INFO: common: Created directory at: artifacts]
[2025-12-11 13:12:30,161: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-11 13:12:30,183: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-11 13:12:30,187: INFO: common: Created directory at: artifacts]
[2025-12-11 13:12:30,190: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-12-11 13:12:36,659: INFO: 3498421330: File is downloaded]
[2025-12-11 13:13:51,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-11 13:13:51,766: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-11 13:13:51,767: INFO: common: Created directory at: artifacts]
[2025-12-11 13:13:51,768: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-12-11 13:13:51,769: INFO: 1492710818: File already exists]
[2025-12-11 15:22:46,158: INFO: main: Stage Data Ingestion Stage initiated]
[2025-12-11 15:22:46,159: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-11 15:22:46,159: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-11 15:22:46,159: INFO: common: Created directory at: artifacts]
[2025-12-11 15:22:46,160: INFO: common: Created directory at: artifacts/data_ingestion]
[2025-12-11 15:22:46,160: INFO: Data_Ingestion: File already exists]
[2025-12-11 15:22:46,274: INFO: main: Stage Data Ingestion Stage Completed]
